Study_ID,Scientific_name,Common_name,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,nest_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,breeding_system,parental_care,mono_poly_model,cooperative_breeding,body_mass,CS_max,nest_type_model,marker_type_model,nest_box_model,study_duration_num,coloniality,migration,MonoBIRDBASE,PolyBIRDBASE,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring
317Hall2000,Grallina_cyanoleuca,Australian_magpie-lark,103,2.9,47,6.4,-35.27,149.12,no,DNA_fingerprinting,CP,1995,1996,2,August,December,Grallina_cyanoleuca,Grallina_cyanoleuca,Grallina_cyanoleuca,Grallina_cyanoleuca,monogamy,biparental,monogamy,NA,84.1,6,open,DNA_fingerprinting,no,2,0,Weak,Mono,NA,3,44,3,100
292Hayes2006,Grus_canadensis,sandhill_crane,45,11.1,18,22.2,43.6,-89.6,no,microsatellite,HC,1991,2004,14,March,November,Grus_canadensis,Grus_canadensis,Antigone_canadensis,Antigone_canadensis,monogamy,biparental,monogamy,NA,3855,2,open,microsatellite,no,14,0,Strong,Mono,NA,4,14,5,40
365Gouar2011,Gyps_fulvus,griffon_vulture,30,0,NA,NA,44.27,5.27,no,microsatellite,"O,PL",2001,2004,4,December,August,Gyps_fulvus,Gyps_fulvus,Gyps_fulvus,Gyps_fulvus,monogamy,biparental,mixed,NA,7866.666667,1,open,microsatellite,no,4,1,Weak,Mono,Poly,NA,NA,0,30
365Gouar2011,Gyps_fulvus,griffon_vulture,10,0,NA,NA,43.77,6.37,no,microsatellite,"O,PL",2002,2004,3,December,August,Gyps_fulvus,Gyps_fulvus,Gyps_fulvus,Gyps_fulvus,monogamy,biparental,mixed,NA,7866.666667,1,open,microsatellite,no,3,1,Weak,Mono,Poly,NA,NA,0,10
194Chiver2015,Habia_fuscicauda,red-throated_ant-tanager,41,41.5,19,52.6,9.08,-79.65,no,microsatellite,NA,2007,2010,4,February,May,Habia_fuscicauda,Habia_fuscicauda,Driophlox_fuscicauda,Driophlox_fuscicauda,monogamy,cooperation,monogamy,NA,38.25,4,NA,microsatellite,no,4,0,Weak,Mono,NA,10,9,17,24
124Heg1993,Haematopus_ostralegus,Eurasian_oystercatcher,65,1.5,26,3.8,53.48,6.22,no,DNA_fingerprinting,SC,1986,1991,6,March,August,Haematopus_ostralegus,Haematopus_ostralegus,Haematopus_ostralegus,Haematopus_ostralegus,monogamy,nk_cooperation,mixed,NA,600,5,ground,DNA_fingerprinting,no,6,0,Weak,Mono,Poly,1,25,1,64
307 Magrath1997,Hirundo_ariel,fairy_martin,203,13.8,70,20,-37.8,144.95,no,microsatellite,SP,1994,1996,3,August,February,Hirundo_ariel,Hirundo_ariel,Petrochelidon_ariel,Petrochelidon_ariel,monogamy,biparental,monogamy,NA,11.38333333,5,other_enclosed,microsatellite,no,3,1,Weak,Mono,NA,14,56,28,175
341Saino1999,Hirundo_rustica,barn_swallow,214,28.5,52,51.9,45.43,8.62,no,microsatellite,CP,1994,1994,1,May,June,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,1,1,Strong,Mono,NA,27,25,61,153
234Lifjeld2011,Hirundo_rustica,barn_swallow,603,31.2,139,NA,44.47,-76.47,no,microsatellite,CP,2003,2004,2,April,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,2,1,Strong,Mono,NA,NA,NA,188,415
345Kleven2005,Hirundo_rustica,barn_swallow,917,28.8,210,48.1,44.57,-76.32,no,microsatellite,CP,2003,2004,2,April,August,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,Hirundo_rustica,monogamy,biparental,monogamy,no,19.35,7,open,microsatellite,no,2,1,Strong,Mono,NA,101,109,264,653
