Lat_round,Long_round,n_study_identities,mixed_broods,total_broods,mixed_paternity
52.63,-0.27,1,0,13,0
52.68,23.87,1,8,33,0.24242424242424243
52.72,23.93,1,4,70,0.05714285714285714
52.77,-4.78,2,6,27,0.2222222222222222
52.87,-123.03,1,1,7,0.14285714285714285
53,-123,1,34,40,0.85
53.07,-0.95,2,51,200,0.255
53.13,6.58,4,111,271,0.4095940959409594
53.25,18.03,1,0,34,0
53.3,5.07,1,7,82,0.08536585365853659
53.33,-1.53,1,3,13,0.23076923076923078
53.33,22.67,1,57,75,0.76
53.37,-1.57,1,6,48,0.125
53.43,14.55,1,6,36,0.16666666666666666
53.48,6.22,1,1,26,0.038461538461538464
53.48,23,1,9,18,0.5
53.48,63.62,1,0,86,0
53.52,8.08,1,1,34,0.029411764705882353
54.05,-2.8,1,41,103,0.39805825242718446
54.75,-3.02,1,5,27,0.18518518518518517
55.67,12.57,1,9,23,0.391304347826087
55.68,36.72,1,16,39,0.41025641025641024
55.72,13.45,1,15,37,0.40540540540540543
56.1,-3.93,1,6,19,0.3157894736842105
56.18,-2.57,1,3,15,0.2
56.2,-3.98,1,16,45,0.35555555555555557
56.28,-2.7,1,16,34,0.47058823529411764
56.35,84.93,1,53,250,0.212
56.5,10.83,1,2,22,0.09090909090909091
56.92,18.12,1,7,12,0.5833333333333334
57.05,-3.57,1,2,22,0.09090909090909091
57.05,18.28,1,93,310,0.3
57.13,12.21,1,0,18,0
57.17,18.33,2,60,145,0.41379310344827586
57.2,10,1,21,63,0.3333333333333333
57.28,18.75,1,0,63,0
57.62,-7.5,1,1,15,0.06666666666666667
57.78,12.32,1,3,15,0.2
58.67,-94.42,1,3,12,0.25
58.75,-95.07,1,1,24,0.041666666666666664
58.77,-94.15,1,1,31,0.03225806451612903
58.87,9.6,1,32,102,0.3137254901960784
59.1,15.25,1,8,132,0.06060606060606061
59.17,15.42,1,10,44,0.22727272727272727
59.32,18,1,0,32,0
59.5,11.33,1,0,34,0
59.53,-1.62,1,0,28,0
59.83,-136.33,1,5,38,0.13157894736842105
59.83,17.63,1,2,7,0.2857142857142857
59.83,17.67,2,8,17,0.47058823529411764
59.85,154.02,1,27,46,0.5869565217391305
59.9,17.53,1,22,32,0.6875
59.93,10.55,1,8,27,0.2962962962962963
59.97,10.78,1,3,18,0.16666666666666666
59.98,10.6,1,21,25,0.84
59.98,10.63,1,4,27,0.14814814814814814
60.38,10.52,1,2,40,0.05
60.42,22.17,1,25,191,0.13089005235602094
60.83,25.33,1,17,34,0.5
61.18,25.1,1,2,26,0.07692307692307693
61.42,8.87,4,65,158,0.41139240506329117
62,-83,1,2,27,0.07407407407407407
62.17,25.08,1,0,11,0
62.37,21.5,1,0,23,0
62.42,8.87,2,135,278,0.4856115107913669
62.47,11.8,1,4,38,0.10526315789473684
62.62,26.33,2,11,79,0.13924050632911392
62.98,22.83,1,2,75,0.02666666666666667
63,26,1,5,130,0.038461538461538464
63.73,11.32,1,13,28,0.4642857142857143
64.33,-164.93,1,2,25,0.08
65,25.5,2,26,141,0.18439716312056736
66.55,-163.61,1,4,63,0.06349206349206349
67.23,-100.27,1,5,47,0.10638297872340426
67.43,11.88,2,0,70,0
69.4,81.82,1,6,18,0.3333333333333333
69.47,-29.83,2,16,53,0.3018867924528302
70.2,-148.25,1,19,47,0.40425531914893614
71.29,-156.8,1,6,37,0.16216216216216217
71.32,-156.65,1,37,334,0.11077844311377245
74.5,-21,1,3,48,0.0625
77,15.37,1,0,26,0
77,15.55,1,2,64,0.03125
78.22,15.58,1,1,27,0.037037037037037035
78.22,15.63,1,19,91,0.2087912087912088
78.92,11.9,1,0,9,0
